layer,input_shape,output_shape,kernel,groups,precision,input_format,output_format,weight_type,tactic,suspected_fallback_reason
"/model.0/conv/Conv + PWN(PWN(/model.0/act/Sigmoid), PWN(/model.0/act/Mul))",1x3x640x640,1x11x320x320,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.1/conv/Conv + PWN(PWN(/model.1/act/Sigmoid), PWN(/model.1/act/Mul))",1x11x320x320,1x22x160x160,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.2/cv0/conv/Conv || /model.2/cv1/conv/Conv,1x22x160x160,1x22x160x160,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; TensorRT fused parallel C2f/Detect convolutions with a shared output precision; Cout=22 is not divisible by 4, unfavorable for vectorized INT8"
/model.2/m.0/cv1/conv/Conv,1x11x160x160,1x11x160x160,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor8x8x16_aligna8_alignc4,Engine inspector confirms INT8 output format and INT8 tactic.
/model.2/m.0/cv2/conv/Conv,1x11x160x160,1x11x160x160,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm75_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor8x8x16_aligna8_alignc4,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.2/cv2/conv/Conv + PWN(PWN(/model.2/cv2/act/Sigmoid), PWN(/model.2/cv2/act/Mul))",1x33x160x160,1x22x160x160,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_interior_c32_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.3/conv/Conv + PWN(PWN(/model.3/act/Sigmoid), PWN(/model.3/act/Mul))",1x22x160x160,1x44x80x80,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_256x64_ldg16_relu_singleBuffer_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.4/cv0/conv/Conv || /model.4/cv1/conv/Conv,1x44x80x80,1x44x80x80,1x1,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_256x64_ldg16_relu_small_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.4/m.0/cv1/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm72_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_aligna8_alignc2,Engine inspector confirms INT8 output format and INT8 tactic.
/model.4/m.0/cv2/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm72_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_aligna8_alignc2,Engine inspector confirms INT8 output format and INT8 tactic.
/model.4/m.1/cv1/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm72_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_aligna8_alignc2,Engine inspector confirms INT8 output format and INT8 tactic.
/model.4/m.1/cv2/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,INT8,Channel major INT8 format where channel % 16 == 0,Channel major INT8 format where channel % 16 == 0,Int8,sm72_xmma_fprop_implicit_gemm_indexed_wo_smem_i8i8_i8i32_f32_nhwckrsc_nhwc_tilesize64x32x64_stage1_warpsize2x1x1_g1_tensor8x8x16_aligna8_alignc2,Engine inspector confirms INT8 output format and INT8 tactic.
"/model.4/cv2/conv/Conv + PWN(PWN(/model.4/cv2/act/Sigmoid), PWN(/model.4/cv2/act/Mul))",1x88x80x80,1x44x80x80,1x1,1,FP32,Row major linear FP32,Row major linear FP32,Float,volta_scudnn_128x32_relu_medium_nn_v1,engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; FP32 island propagated through the input tensor
"/model.5/conv/Conv + PWN(PWN(/model.5/act/Sigmoid), PWN(/model.5/act/Mul))",1x44x80x80,1x89x40x40,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.6/cv0/conv/Conv || /model.6/cv1/conv/Conv,1x89x40x40,1x88x40x40,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; TensorRT fused parallel C2f/Detect convolutions with a shared output precision"
"/model.6/m.0/cv1/conv/Conv + PWN(PWN(/model.6/m.0/cv1/act/Sigmoid), PWN(/model.6/m.0/cv1/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32"
"/model.6/m.0/cv2/conv/Conv + PWN(PWN(PWN(/model.6/m.0/cv2/act/Sigmoid), PWN(/model.6/m.0/cv2/act/Mul)), PWN(/model.6/m.0/Add))",1x44x40x40 | 1x44x40x40,1x44x40x40,3x3,1,FP32,Row major linear FP32 | Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; residual/elementwise fusion has multiple FP32 inputs; FP32 island propagated through the input tensor
"/model.6/m.1/cv1/conv/Conv + PWN(PWN(/model.6/m.1/cv1/act/Sigmoid), PWN(/model.6/m.1/cv1/act/Mul))",1x44x40x40,1x44x40x40,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32"
"/model.6/m.1/cv2/conv/Conv + PWN(PWN(PWN(/model.6/m.1/cv2/act/Sigmoid), PWN(/model.6/m.1/cv2/act/Mul)), PWN(/model.6/m.1/Add))",1x44x40x40 | 1x44x40x40,1x44x40x40,3x3,1,FP32,Row major linear FP32 | Row major linear FP32,Row major linear FP32,Float,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,engine inspector confirms float weights and FP32 tactic; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; residual/elementwise fusion has multiple FP32 inputs; FP32 island propagated through the input tensor
"/model.6/cv2/conv/Conv + PWN(PWN(/model.6/cv2/act/Sigmoid), PWN(/model.6/cv2/act/Mul))",1x176x40x40,1x89x40x40,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_xregs_small_linkable_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; fused SiLU touches Sigmoid that the implicit PTQ exporter constrained to FP32; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"/model.7/conv/Conv + PWN(PWN(/model.7/act/Sigmoid), PWN(/model.7/act/Mul))",1x89x40x40,1x179x20x20,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
